country,population,death_rate,dr_per_day,death_rate_pop
Latvia,1926542.0,14.8,4.0547945205479454e-05,78.1173194520548
Lebanon,6848925.0,4.263,1.167945205479452e-05,79.99169116438354
Lesotho,2108132.0,14.655999999999999,4.0153424657534255e-05,84.64871943013699
Liberia,4818977.0,7.729,2.1175342465753425e-05,102.04348830958904
Libya,6678567.0,5.099,1.396986301369863e-05,93.29866611780822
Liechtenstein,37910.0,6.6,1.808219178082192e-05,0.6854958904109588
Lithuania,2789533.0,14.2,3.8904109589041095e-05,108.52429753424656
Luxembourg,607728.0,7.1,1.9452054794520547e-05,11.821558356164385
Madagascar,26262368.0,6.185,1.6945205479452055e-05,445.0212221369863
Malawi,18143315.0,6.811,1.866027397260274e-05,338.55922867123286
Malaysia,31528585.0,5.013999999999999,1.373698630136986e-05,433.10774024657525
Maldives,515696.0,2.883,7.898630136986301e-06,4.073291967123288
Mali,19077690.0,9.984,2.7353424657534245e-05,521.8401560547944
Malta,483530.0,7.6,2.0821917808219175e-05,10.06802191780822
Marshall Islands,58413.0,3.7,1.0136986301369864e-05,0.5921317808219179
Mauritania,4403319.0,7.338999999999999,2.010684931506849e-05,88.53687161917807
Mauritius,1265303.0,8.0,2.1917808219178087e-05,27.73266849315069
Mexico,126190788.0,5.933,1.6254794520547946e-05,2051.2053293260274
"Micronesia, Fed. Sts.",112640.0,6.534,1.7901369863013697e-05,2.0164103013698633
Moldova,3545883.0,11.527999999999999,3.158356164383562e-05,111.99161431232878
Monaco,38682.0,7.9,2.164383561643836e-05,0.8372268493150685
Mongolia,3170208.0,6.2989999999999995,1.7257534246575345e-05,54.70997312876714
Montenegro,622345.0,10.592,2.9019178082191786e-05,18.05994038356165
Morocco,36029138.0,5.072,1.3895890410958905e-05,500.6569532493151
Mozambique,29495962.0,8.964,2.4558904109589042e-05,724.3885023780823
Myanmar,53708395.0,8.206,2.2482191780821915e-05,1207.4824366301368
Namibia,2448255.0,8.23,2.254794520547945e-05,55.2031195890411
Nepal,28087871.0,6.404,1.7545205479452052e-05,492.8074681753425
Netherlands,17231017.0,8.8,2.410958904109589e-05,415.432738630137
New Caledonia,284060.0,5.5,1.5068493150684934e-05,4.280356164383561
New Zealand,4885500.0,6.95,1.9041095890410957e-05,93.02527397260276
Nicaragua,6465513.0,5.0489999999999995,1.383287671232877e-05,89.4366442109589
Niger,22442948.0,8.529,2.3367123287671232e-05,524.4271328547944
Nigeria,195874740.0,12.114,3.3189041095890414e-05,6500.894795506851
North Macedonia,2082958.0,9.965,2.73013698630137e-05,56.86760676712328
Norway,5314336.0,7.7,2.1095890410958904e-05,112.11064986301369
Oman,4829483.0,2.4619999999999997,6.745205479452055e-06,32.57585519452055
Pakistan,212215030.0,6.994,1.916164383561644e-05,4066.3888214246576
Palau,17907.0,10.3,2.8219178082191783e-05,0.5053208219178082
